run_id,phase,dataset,epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro
1,finetune_scratch,nm,1,2.3138354736032665,0.11475409836065574,2.2947086443219864,0.10928571428571429,0.06635018699038826
1,finetune_scratch,nm,2,2.2919057563184473,0.12687099073414113,2.282465546471732,0.12428571428571429,0.07988220560864433
1,finetune_scratch,nm,3,2.281522449503378,0.13114754098360656,2.279607528959002,0.13357142857142856,0.09536069121993204
1,finetune_scratch,nm,4,2.2764095608653916,0.1361368496079829,2.277178307941982,0.13714285714285715,0.09811201007664938
1,finetune_scratch,nm,5,2.274127602832112,0.1370871941078641,2.2703569861820765,0.14357142857142857,0.1033048684028205
1,finetune_scratch,nm,6,2.269600094228551,0.14183891660727013,2.2634893185751777,0.15142857142857144,0.10203442397674949
1,finetune_scratch,nm,7,2.2593187717678824,0.1522927061059634,2.259531192779541,0.18285714285714286,0.13936745057006972
1,finetune_scratch,nm,8,2.2485334820519665,0.16108339272986458,2.2252526487622943,0.1742857142857143,0.14791027848146682
1,finetune_scratch,nm,9,2.2394962471662665,0.16868614872891424,2.2205752086639405,0.18428571428571427,0.14052866532667946
1,finetune_scratch,nm,10,2.219963698127712,0.17367545735329057,2.2115085342952185,0.19357142857142856,0.1506965991051923
1,finetune_scratch,nm,11,2.203494492265951,0.18389166072701355,2.189216537475586,0.21214285714285713,0.1745306539542808
1,finetune_scratch,nm,12,2.1848023183047274,0.1948206224756474,2.180624385561262,0.22,0.18869212267439112
1,finetune_scratch,nm,13,2.1631235773304516,0.2059871703492516,2.172218153817313,0.21714285714285714,0.17341382347838477
1,finetune_scratch,nm,14,2.151715215409728,0.20361130909954858,2.1621106243133545,0.21642857142857144,0.18569795368029668
1,finetune_scratch,nm,15,2.1304346374843433,0.20931337609883582,2.1474746663229807,0.225,0.19110771966097212
1,finetune_scratch,nm,16,2.113439388019111,0.22428130197196483,2.1422984273093086,0.225,0.18943108344677267
1,finetune_scratch,nm,17,2.0965175401515874,0.2325968163459254,2.1390031364985873,0.22071428571428572,0.18488820450519255
1,finetune_scratch,nm,18,2.0771034794257073,0.2335471608458066,2.145460743222918,0.23785714285714285,0.2041098547665338
1,finetune_scratch,nm,19,2.070401904814655,0.23972440009503446,2.1241164997645785,0.24285714285714285,0.21241935844071164
1,finetune_scratch,nm,20,2.049889669675503,0.2454264670943217,2.1125023964473177,0.23714285714285716,0.21641874741968628
1,finetune_scratch,nm,21,2.044184310726837,0.2539795675932526,2.121138210296631,0.24857142857142858,0.21684018185733756
