fold,seed,epoch,train_loss,train_acc,val_zero_shot_loss,val_zero_shot_acc,val_zero_shot_f1,val_adapt_monitor_loss,val_adapt_monitor_acc,val_adapt_monitor_f1
1,43,1,2.3108403806708946,0.11997635933806147,2.312551975250244,0.1,0.053976199239357134,2.226523280143738,0.13333333333333333,0.09615440115440115
1,43,2,2.269268998017548,0.13608156028368795,2.3451666831970215,0.11666666666666667,0.05374440374440374,2.317266345024109,0.13333333333333333,0.10300324675324676
1,43,3,2.215364160267174,0.16784869976359337,2.420477271080017,0.11666666666666667,0.065995670995671,2.3369812965393066,0.18333333333333332,0.15663059163059162
1,43,4,2.15170205851255,0.20567375886524822,2.5078824758529663,0.08333333333333333,0.05072362278244631,2.2913559675216675,0.23333333333333334,0.21650793650793654
1,43,5,2.0558080081398606,0.24556737588652483,2.4609795808792114,0.11666666666666667,0.0714520202020202,2.1507240533828735,0.25,0.21916666666666665
1,43,6,1.9601744348557564,0.2848699763593381,2.512956738471985,0.13333333333333333,0.08050207961972668,2.1255054473876953,0.2833333333333333,0.27
1,43,7,1.8575968438006463,0.3331855791962175,2.43039608001709,0.23333333333333334,0.21448773448773448,1.9703568816184998,0.3666666666666667,0.33226190476190476
1,43,8,1.7710565494871027,0.35859929078014185,2.505788743495941,0.25,0.1941847041847042,1.8810515999794006,0.43333333333333335,0.43519841269841275
1,43,9,1.6621127410419725,0.404403073286052,2.6895545721054077,0.21666666666666665,0.18333694083694085,1.871169090270996,0.41666666666666663,0.4117893217893218
1,43,10,1.6015239596085065,0.4307033096926714,2.770961582660675,0.2833333333333333,0.28452380952380957,1.8016714453697205,0.41666666666666663,0.43138888888888893
1,43,11,1.5303332160268832,0.4559692671394799,2.667960286140442,0.31666666666666665,0.30732905982905984,1.7366769313812256,0.4666666666666667,0.4493253968253968
1,43,12,1.471844460101838,0.48478132387706857,2.9403932094573975,0.2833333333333333,0.2703785103785104,1.7363418340682983,0.4666666666666667,0.4506349206349206
1,43,13,1.4226151907697637,0.49541962174940896,2.80153352022171,0.31666666666666665,0.2986904761904762,1.6423824429512024,0.4833333333333333,0.471535409035409
1,43,14,1.378691594651405,0.5189125295508275,2.6096773743629456,0.3333333333333333,0.30801587301587297,1.5919243097305298,0.5833333333333334,0.5776190476190476
1,43,15,1.3207909894609564,0.5391548463356974,2.9440022110939026,0.2833333333333333,0.2513888888888889,1.611233413219452,0.5166666666666666,0.48307692307692307
