run,seed,epoch,train_loss,train_acc,val_zero_shot_loss,val_zero_shot_acc,val_zero_shot_f1,val_adapt_monitor_loss,val_adapt_monitor_acc,val_adapt_monitor_f1
1,43,1,2.062595370769501,0.236375,2.0131603808403016,0.28049999999999997,0.2133097738964846,1.9564004503190517,0.30600000000000005,0.2586638049976019
1,43,2,1.91507408285141,0.2979375,1.8433485484123229,0.32199999999999995,0.28817375753807734,1.8739515617489815,0.357,0.3218692218990985
1,43,3,1.789441385269165,0.344125,1.7541579612493514,0.3725,0.33122043231772635,1.8324046954512596,0.398,0.37685738457272655
1,43,4,1.6722940993309021,0.3929375,1.5854188611507416,0.449,0.4349251315273487,1.798571951687336,0.432,0.4031564836376377
1,43,5,1.5292046089172364,0.4523125,1.5111292643547058,0.475,0.46614021354232393,1.716937381774187,0.5105,0.4867206904017617
1,43,6,1.3898718671798707,0.5073125,1.2593603169322014,0.554,0.5476243253029398,1.6381941922008991,0.5865,0.5739585789164929
1,43,7,1.2703450105190277,0.5481875,1.07797248339653,0.6379999999999999,0.6329101564416431,1.5911965183913708,0.6319999999999999,0.6240131384945717
1,43,8,1.1862064044475555,0.586625,1.0215116584300996,0.6465,0.6442325949829961,1.5635523833334446,0.6375,0.6310039485682762
1,43,9,1.1057888400554656,0.6096875,1.0003953347802161,0.6659999999999999,0.6617927208317285,1.5347348041832447,0.6755,0.6701439228049528
1,43,10,1.0383962364196777,0.6348125,0.9293089075982571,0.6799999999999999,0.6742509171842908,1.5234806314110756,0.6935,0.6898512684195129
1,43,11,0.9719995167255402,0.6579375,0.9599640881419181,0.6735,0.6673667503236392,1.5075833462178707,0.6925,0.6870229509337016
1,43,12,0.9350667116641999,0.6685625,0.8745929242670536,0.6985,0.6925338669551742,1.4773916862905025,0.7155,0.7103066616015075
1,43,13,0.9027866011857987,0.682875,0.8449736810028553,0.7165,0.7121696929030402,1.4556445814669132,0.7395,0.7379616671023279
1,43,14,0.8438992801904678,0.70475,0.8024847046136856,0.735,0.7308773204176845,1.433755598962307,0.7535000000000001,0.751443240135724
1,43,15,0.7906917706727982,0.725125,0.7069543325304986,0.7655000000000001,0.7623624244265085,1.4104098305106163,0.7715000000000001,0.7701456805777909
1,43,16,0.7652074899673462,0.732125,0.7472815047353506,0.7605,0.7556015315313322,1.4176237843930721,0.7845,0.7825309748151267
1,43,17,0.711941841006279,0.7496875,0.693652629584074,0.7685,0.7636861913479498,1.3991954773664474,0.7985,0.7965761058239285
1,43,18,0.7121170341968537,0.74525,0.6637909081727267,0.7885,0.7846660400382544,1.3826567195355892,0.7965,0.7954010315085234
1,43,19,0.6763926903009415,0.76625,0.6530680217761546,0.7875,0.7842798727636986,1.3661916926503181,0.7985,0.796839879382961
1,43,20,0.6535894883871078,0.7755625,0.6395261539891361,0.8049999999999999,0.8000882712094217,1.3589775450527668,0.8085,0.807718649993005
1,43,21,0.6422292984724045,0.7769375,0.6166149728149175,0.8085,0.805371726524029,1.3650952205061913,0.817,0.815186137904485
1,43,22,0.6066217760443687,0.7870625,0.5814718746617435,0.8155,0.8115820601655803,1.333050411194563,0.8195,0.8186666618965451
1,43,23,0.5715945342183113,0.8000625,0.5654031417369842,0.8245,0.822703550033335,1.335166785866022,0.823,0.8214634905013127
1,43,24,0.5532699707150459,0.807,0.5986527687609196,0.8089999999999999,0.8051250740045139,1.319311711937189,0.8275,0.8266595080859146
1,43,25,0.5638584052324295,0.80175,0.5632528222799301,0.8265,0.8244805159059514,1.3228656873106956,0.8375,0.8366989943164396
1,43,26,0.5288506940603256,0.814,0.563266035117209,0.8235,0.820515181883763,1.3111149556934834,0.846,0.8457340325322715
1,43,27,0.5178257327079773,0.8159375,0.49950626391172415,0.8405,0.8388325989423289,1.3163869306445122,0.837,0.8352856341777419
1,43,28,0.503787050306797,0.8238125,0.5120534502565861,0.8494999999999999,0.847848863748129,1.3089423589408398,0.842,0.8409097850029472
1,43,29,0.5031789155602455,0.8219375,0.5269126467704773,0.839,0.8361540095335471,1.3094770461320877,0.8435,0.842515635042439
1,43,30,0.5012668100595474,0.8240625,0.5286972100809216,0.841,0.8383620710227797,1.293088886886835,0.859,0.858189811472292
1,43,31,0.4816728010773659,0.8286875,0.5188823351264,0.8394999999999999,0.8363907704397917,1.289108868688345,0.854,0.8530078897521673
1,43,32,0.47131495946645735,0.8346875,0.5083915650546551,0.836,0.8337545998314555,1.2930981889367104,0.8565,0.855927316985962
1,43,33,0.4423033983707428,0.84375,0.5261126079000533,0.8474999999999999,0.8459921130718184,1.2851593159139156,0.853,0.8516501115952155
1,43,34,0.45116616356372835,0.8418125,0.4817962529957295,0.857,0.8541714679449768,1.2713613398373127,0.868,0.8663919906656552
1,43,35,0.4454091547727585,0.84125,0.5357303494662047,0.8425,0.8386534419928343,1.27275700122118,0.862,0.8599834434642749
1,43,36,0.41808141899108886,0.850875,0.45777988632023336,0.862,0.8602703892537564,1.2683629021048546,0.8665,0.8653070072227382
1,43,37,0.42648689436912535,0.8475625,0.48802160477638246,0.8605,0.8586972282991912,1.2806528732180595,0.8625,0.8613185298543639
1,43,38,0.4016382670402527,0.859875,0.44680495935678477,0.868,0.8659669261722213,1.2744037322700024,0.862,0.8608433831612565
1,43,39,0.40093815556168555,0.8568125,0.4717807987928391,0.8654999999999999,0.8628999217080019,1.271730437874794,0.8705,0.8692463769018204
1,43,40,0.39336055940389636,0.8598125,0.449392462477088,0.864,0.8619746070999748,1.2611619494855404,0.8765000000000001,0.8750188635332872
1,43,41,0.3888489090204239,0.8629375,0.43647490960359575,0.8734999999999999,0.871890034287484,1.277502678334713,0.8674999999999999,0.8662800784397009
1,43,42,0.38998227071762087,0.8594375,0.4673743558749557,0.863,0.8608763259922764,1.26005769520998,0.869,0.8672784487602856
1,43,43,0.3990236637592316,0.8581875,0.43298799154162404,0.865,0.8629271044790487,1.2713450472801924,0.868,0.8667662031389585
1,43,44,0.3715013494491577,0.866625,0.49083232212997974,0.8614999999999999,0.8593987558219711,1.267169713973999,0.871,0.8695286411724624
1,43,45,0.36843227916955945,0.868625,0.4504735532030463,0.8634999999999999,0.8617955419337663,1.2633532881736755,0.878,0.8768718022515578
1,43,46,0.3643999707698822,0.8710625,0.4600445343796164,0.864,0.8630741266761169,1.2643059082329273,0.865,0.863863004741986
1,43,47,0.3482506367862225,0.8756875,0.4445076619088649,0.8654999999999999,0.8642403536982877,1.2630761489272118,0.8725,0.8705030984740879
1,43,48,0.3398854964375496,0.8798125,0.45370115969702596,0.8634999999999999,0.8618249763447894,1.2537367809563875,0.87,0.8689313093571558
1,43,49,0.3328346810936928,0.8801875,0.44236096578929573,0.873,0.8712653875696943,1.255901861935854,0.874,0.872734997334405
1,43,50,0.34000303599238396,0.8771875,0.46108887854451314,0.8755,0.8743098799758546,1.2521266620606184,0.8725,0.871195628975242
1,43,51,0.3341982205808163,0.87975,0.45717165467026644,0.873,0.8722770302777978,1.249580442905426,0.87,0.869119546656637
1,43,52,0.34345855632424355,0.8765625,0.42656371124088766,0.8725,0.8704310116869277,1.2550419569015503,0.8775,0.8762628650007256
1,43,53,0.3478496469557285,0.876625,0.42476304137706755,0.8705,0.8684063579178989,1.257553055882454,0.878,0.8773536556885351
1,43,54,0.3221424121260643,0.883625,0.4121205625645816,0.8855,0.8840703576985571,1.2516864910721779,0.879,0.877815527078716
1,43,55,0.34780775174498557,0.876375,0.4242796704133507,0.8765000000000001,0.8753524728766544,1.2579529136419296,0.8815,0.8803899273259289
1,43,56,0.3174683307409287,0.886625,0.4166837492864579,0.8815,0.8795389881380075,1.2539431154727936,0.8795,0.8784799322737871
1,43,57,0.308644977748394,0.8879375,0.4397602266147733,0.878,0.8763502641325762,1.2487351037561893,0.877,0.8759362894068954
1,43,58,0.31083788722753525,0.8874375,0.4502257730662823,0.875,0.8743061230901545,1.2463117204606533,0.881,0.8805708306056124
1,43,59,0.3306061799824238,0.8794375,0.4585390768498182,0.8745,0.8736862540904362,1.251601792871952,0.8805000000000001,0.8793357311387395
1,43,60,0.30385798412561416,0.89,0.45617985996790233,0.874,0.8715102219726747,1.2561727538704872,0.869,0.8677297889414813
1,43,61,0.2970372121334076,0.8920625,0.42953751036338506,0.883,0.8817332068048153,1.2479389645159245,0.8795,0.8789247682269319
1,43,62,0.3168335774242878,0.8869375,0.4430359198565129,0.8845000000000001,0.8827700097118508,1.247476663440466,0.8835,0.8825454427476498
1,43,63,0.2863395125865936,0.8973125,0.4512087428844534,0.8845000000000001,0.8835720753148557,1.2387815490365028,0.884,0.8830168409493908
1,43,64,0.29486063627898695,0.89025,0.4415117019859608,0.8845000000000001,0.8835067155323546,1.245350357145071,0.885,0.8842590477708183
1,43,65,0.2831742206066847,0.8980625,0.4803081634156406,0.8674999999999999,0.8658228113792752,1.2476225476711988,0.882,0.8801795554648804
1,43,66,0.2875223059654236,0.8943125,0.46863583458401264,0.8795,0.87763197964434,1.2504432387650013,0.879,0.8773148708085363
1,43,67,0.27612629014253615,0.899,0.47821458262577654,0.875,0.8735797522600096,1.2485795803368092,0.8795,0.8779103141025778
1,43,68,0.2901882597208023,0.896125,0.46858175435662264,0.8765000000000001,0.8755749393869237,1.2474385015666485,0.878,0.8766044612500774
1,43,69,0.2791521645262837,0.90125,0.4511886174317915,0.883,0.881731124084167,1.2345912978053093,0.884,0.8820634551610089
1,43,70,0.2886148204505444,0.8970625,0.47019068281439835,0.8765000000000001,0.8751022318751742,1.2464409284293652,0.886,0.8852453501617352
2,44,1,2.1945284848213196,0.17975,2.0750215930938722,0.23,0.18026288626982437,2.0167534425854683,0.29000000000000004,0.25800321765785517
2,44,2,1.9852435936927795,0.2711875,1.8784108564853668,0.3165,0.2864799236654004,1.8950564116239548,0.3815,0.3488843910596714
2,44,3,1.8341420602798462,0.3389375,1.6655492095947264,0.403,0.3876365098627862,1.8480981588363647,0.423,0.3921884377379774
2,44,4,1.7270128264427185,0.3894375,1.532009179353714,0.462,0.44716202517536663,1.7995578162372112,0.47950000000000004,0.4587361261621518
2,44,5,1.5701006860733033,0.4479375,1.3795238189697265,0.5225,0.5156681600570385,1.7627354301512241,0.5225,0.5053216312442752
2,44,6,1.4641130475997925,0.4891875,1.3316753256320952,0.5449999999999999,0.5397486606821971,1.7030602023005486,0.5475,0.5286998522118005
2,44,7,1.3709216253757477,0.5248125,1.247317315340042,0.5555,0.5459847660240327,1.667791947722435,0.5845,0.5679722872484615
2,44,8,1.3173582928180694,0.539,1.2268889548778534,0.5915,0.5764406808217761,1.6575215570628643,0.591,0.5774569544374253
2,44,9,1.2596708693504333,0.562125,1.1410570311546326,0.627,0.6226215258095931,1.6222779862582684,0.6305000000000001,0.6250125543098584
2,44,10,1.2068199031352997,0.5764375,1.14265943723917,0.614,0.6067584146826834,1.5951273664832115,0.6395,0.6328062136116439
2,44,11,1.1446039974689484,0.6009375,1.0923524204492567,0.6455,0.643955249126406,1.589888397604227,0.6395,0.6318876499605273
2,44,12,1.072720976114273,0.62825,0.9922720267772674,0.671,0.6683801735384474,1.5613540671765804,0.6699999999999999,0.6648064120565363
2,44,13,1.067153003692627,0.62725,0.9129118418097496,0.6950000000000001,0.6903912780389649,1.5385955646634102,0.6805,0.673698607388467
2,44,14,1.0391727318763733,0.63525,0.9327258828282357,0.6930000000000001,0.688569448994762,1.5441364161670208,0.6739999999999999,0.6706135237990931
2,44,15,0.9825164384841919,0.6605,0.9292448366582393,0.6965,0.690916511233477,1.5271856784820557,0.6910000000000001,0.6874550595017411
2,44,16,0.9438363053798675,0.67,0.8175497757345438,0.7335,0.728652556059159,1.5025405585765839,0.692,0.6887105472160222
2,44,17,0.9299791116714478,0.679,0.935898193448782,0.7070000000000001,0.7050670955202941,1.4863760247826576,0.7030000000000001,0.7006521529166321
2,44,18,0.8903836380243302,0.687125,0.9026685349345207,0.7090000000000001,0.7056683348103001,1.4881330542266369,0.7190000000000001,0.7131743309904042
2,44,19,0.8670361593961716,0.701625,0.7937121317386627,0.7455,0.7433022758338326,1.4676323048770428,0.7215,0.7183645781361625
2,44,20,0.8357760204076767,0.7086875,0.8136169122755528,0.7395,0.7373966664746507,1.4683942049741745,0.7230000000000001,0.7204788471446961
2,44,21,0.7932696144580841,0.724375,0.8128409525752067,0.754,0.7502398398032866,1.45156379789114,0.7395,0.7342676342601823
2,44,22,0.7831987073421478,0.7281875,0.7328529348969459,0.768,0.7646729456635063,1.4301659688353539,0.7415,0.7370332974048239
2,44,23,0.7893961178064346,0.7228125,0.8819179275035858,0.7235,0.7223426841498604,1.4366889707744122,0.7535000000000001,0.7496558946466438
